code,name,kind,district,status,commission_bps
DT-GARDENIA,Mộc Coffee · Gardenia,affiliate,Nam Từ Liêm,active,800
DT-CAUGIAY,Bếp Việt 24 · Cầu Giấy,distribution,Cầu Giấy,active,1200
DT-TAYHO,Lá Coffee · Tây Hồ,affiliate,Tây Hồ,active,800
DT-DINHTHON,Nếp Coffee · Đình Thôn,affiliate,Nam Từ Liêm,active,800
DT-YENHOA,Mây Café · Yên Hòa,affiliate,Cầu Giấy,active,800
DT-TRUNGKINH,Bếp Nhà 88 · Trung Kính,distribution,Cầu Giấy,active,1200
DT-HOTUNGMAU,An Coffee · Hồ Tùng Mậu,affiliate,Cầu Giấy,active,800
DT-VANQUAN,Góc Nhỏ Café · Văn Quán,affiliate,Hà Đông,active,800
DT-VINCOMSKYLAKE,Skylake Pantry · Phạm Hùng,distribution,Nam Từ Liêm,active,1200
DT-THANHXUAN,Bếp Việt · Thanh Xuân,distribution,Thanh Xuân,active,1200
DT-LANGHA,Mầm Coffee · Láng Hạ,affiliate,Đống Đa,active,800
DT-LINHDAM,Lá Nếp · Linh Đàm,affiliate,Hoàng Mai,active,800
DT-TAYMO,Nhà Mình Café · Tây Mỗ,affiliate,Nam Từ Liêm,active,800
DT-MOLAO,Nếp Mới · Mộ Lao,affiliate,Hà Đông,active,800
DT-NGOCKHANH,Trạm Xanh · Ngọc Khánh,distribution,Ba Đình,active,1200
DT-LACLONGQUAN,Mây Hồ Tây · Lạc Long Quân,affiliate,Tây Hồ,active,800
DT-GIALAM,Phố Nhỏ Café · Gia Lâm,affiliate,Gia Lâm,active,800
DT-HOAIDUC,Tào Phớ 88 Hoài Đức,distribution,Hoài Đức,active,1200
