code,name,kind,address,district,lat,lng,hours,services,distance_km,owner_phone,capacity_per_hour
DC-MYDINH,Đảo Chè Mỹ Đình,official-store,"Số 18 Nguyễn Hoàng, Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,21.028741,105.777906,06:30–22:00,Giao nhanh|Đơn nhóm|Gói tháng,0.8,,
DC-KEANGNAM,Express Keangnam,official-store,"Sảnh A, Keangnam Landmark 72, Phạm Hùng, Hà Nội",,21.016662,105.783290,07:00–20:30,Nhận tại quầy|Đơn văn phòng,1.2,,
DC-GARDENIA,Mộc Coffee · Gardenia,partner-counter,"Shop S2-03, Vinhomes Gardenia, Hàm Nghi, Hà Nội",,21.035807,105.770995,07:30–22:30,Coffee|Bán thêm Đảo Chè,2.4,,
DC-CAUGIAY,Bếp Việt 24 · Cầu Giấy,distribution-partner,"88 Trần Thái Tông, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Cầu Giấy,21.033915,105.789612,10:00–21:30,Nhà hàng|Combo tráng miệng,4.6,,
DC-TAYHO,Lá Coffee · Tây Hồ,partner-counter,"19 ngõ 67 Tô Ngọc Vân, Quảng An, Tây Hồ, Hà Nội",Tây Hồ,21.066217,105.826105,08:00–23:00,Coffee|Chè signature,8.3,,
DC-METRI,Đảo Chè Mễ Trì,official-store,"46 Mễ Trì Hạ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,21.010654,105.778829,06:30–22:00,Giao nhanh|Đơn nhóm,1.8,,
DC-PHAMHUNG,Bếp nhanh Phạm Hùng,official-store,"Số 7 Phạm Hùng, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,21.018915,105.782884,07:00–22:30,Giao nhanh|Đơn nhóm,2.1,,
DC-DINHTHON,Nếp Coffee · Đình Thôn,partner-counter,"32 Đình Thôn, Mỹ Đình 1, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,21.017974,105.774868,07:00–22:30,Coffee|Đảo Chè,2.6,,
DC-TRANDUYHUNG,Đảo Chè Trần Duy Hưng,official-store,"128 Trần Duy Hưng, Trung Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,21.007705,105.799005,06:30–22:00,Giao nhanh|Đơn nhóm,3.2,,
DC-YENHOA,Mây Café · Yên Hòa,partner-counter,"19 Vũ Phạm Hàm, Yên Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,21.017454,105.799854,07:00–22:30,Coffee|Đảo Chè,3.7,,
DC-TRUNGKINH,Bếp Nhà 88 · Trung Kính,distribution-partner,"57 Trung Kính, Trung Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,21.013663,105.802186,07:00–22:30,Đối tác xác minh|Đặt tại điểm,4.1,,
